,topics,reflection
342,"[3, 11]",i have regularly used  for buying tyres  this purely because they have great prices in comparison to the dealerships or tyre shops  the service is straight forward and the selected tyre shop  provides excellent service 
343,[3],superb service and a quality’s product  locally done and quick appointment  very impressed  😀
344,[7],very pleased with the ordering process and the local garage that fitted the tyres 
345,"[2, 3]",good price  easy to buy  great partner garage 
346,[7],straight forward and easy to understand great discount on the price
347,"[0, 11]",an easy way to save money  i have saved a lot of money over the years buying tyres from  - but it is not just about the money  the service we have received from them and their approved fitters has been excellent  i would heartily recommend them 
348,"[2, 4]",excellent straightforward service  clear sense of pride in workmanship  i wish - it was easier to find  the workshop is tucked away in a corner of an industrial estate 
349,"[6, 10]",good service 1010  good service and the cost was excellent  10/10 i certainly will use  again  thanks 
350,[10],great service and good price 
351,[7],best decision ive ever made  ordering the tyres you need online and getting them delivered and fitted at a garage near you is the icing on the cake 
352,[9],great price and brilliant service   tyres fitted at my place of work  fitter sent text message advising arrival time and tyres fitted quick  will definitely use again 
353,"[9, 11]",great availability and prices  the exact tyres  i was looking for were in stock for next day delivery to my local tyre fitment centre at a great price 
354,"[4, 9]",blow out less than 10 days later  great service fitting but we had a blow out on one tyre less than 10 days later in the alps and got mugged having to buy a new pair in chatel so not happy  
355,[10],very price competitive  elected tyre installer had very good service  too 
356,"[0, 4]",good value for money  very good value tyres for my car  the  operator was very helpful in shuffling my appointment round with the garage  the garage  bathwick tyres in brislington  bristol  were excellent as well  very patient when i had problems with my locking wheel nut and persevered with sorting my tracking/alignment out until it was sorted  highly recommended 
357,"[3, 8]",excellent service  terrific price i couldn't beat it  smooth professional service at the tyre fitter woodfords garage burnham on crouch 
358,[11],this is the second time that i have purchased tyers from  and find them very competitive on price  plus they give me confidence in the quality of the tyers fitted  i can’t fault the tyre company that fitted them ats shrewsbury 
359,"[1, 6]",highly recommend  easy to book  fab prices and great customer service  will definitely be using next time 
360,"[7, 10]",good price  on time delivery  no hassle 
361,[3],great price and tyres fitted on time by ats
362,"[1, 4]",best prices  a brilliant tech at lakeside branch  dylan i think was his name  did a fantastic job replacing all 4 tyres and balanced perfectly all in under 30 mins i will never use another tyre supplier while you guys deliver such great service and prices    a very happy customer         
363,[1],chap and speedy  friendly service and transparent pricing 
364,[2],good selection of tyres at very competitive prices  easy to book a fitting slot  very helpful staff at ats abergavenny  very happy with the whole experience
365,[3],very good tyres great price great garage  
